phecode	beta	SE	chisq	OR	p	n.cases	n.var.cases	n.controls	n.var.controls	case.ctrl_ratio	firth_correct
198.1	-0.415231795590454	0.280470712460685	2.19182646949643	0.660187234478122	0.138744704394098	8472	13	327660	742	0.0258560703167918	FALSE
275.1	0.275475963696152	0.578287728053387	0.226923498100893	1.31715744482177	0.633814451109975	995	3	373729	858	0.00266235694848406	FALSE
292	0.0972280929312944	0.200919812429038	0.234173640035913	1.10211172884859	0.628446258411989	10252	26	362734	830	0.0282631349694266	FALSE
634	-0.339992095356205	0.348346058267886	0.952611541236425	0.711775949075712	0.329055441652335	5349	9	196783	449	0.02718222610693	FALSE
473.4	0.337588807789402	0.50207379288337	0.452106732331096	1.40156407267219	0.501336194975821	1266	4	355718	817	0.00355899898233994	FALSE
747	0.0177256570793896	0.292057159405602	0.00368357038440681	1.01788368889722	0.951604164981371	4997	12	374180	856	0.0133545352504142	FALSE
613	-0.0609722033378362	0.498062704403593	0.0149863452603356	0.940849391885231	0.902567406307841	1919	4	377258	864	0.00508670458943217	FALSE
525	0.162064361425787	0.335729287534445	0.233021818412291	1.17593592379815	0.629292192001551	3486	9	366238	831	0.00951840060288665	FALSE
472	-0.351356437877334	0.707652248010575	0.246522208470551	0.703732872095256	0.619534613628802	1252	2	355718	817	0.00351964196357789	FALSE
459	0.150940649526578	0.123599280546119	1.49135331338354	1.16292763572785	0.222006604310918	27740	74	341825	781	0.0811526365830469	FALSE
600	-0.0169889834226277	0.166847734390808	0.0103679801624653	0.983154515573039	0.918896947650006	18295	43	146181	343	0.125153063667645	FALSE
250.2	0.0360480217758133	0.129806719843503	0.0771202665930081	1.03670562974091	0.781238546225622	29938	66	347296	796	0.0862031235603059	FALSE
701.3	1.55305010704257	0.977288648698312	2.52537122059157	4.72586260903827	0.112028413799298	71	1	373012	846	0.000190342401853023	FALSE
735.21	0.560761875421044	0.320032544438725	3.07021415918095	1.752006802866	0.0797389665567863	2429	10	365636	837	0.00664321893905414	FALSE
568.1	-0.260473182126845	0.318669472662191	0.668105593971047	0.770686824280411	0.413712863820732	5656	10	347971	799	0.0162542280822252	FALSE
851	0.0811041534846892	0.2171197800452	0.139536366809981	1.08448384345614	0.70874236206493	8750	22	354810	805	0.0246610862151574	FALSE
580.1	0.560668285452079	0.501552580357567	1.24962309526411	1.75184284027644	0.263624476250298	1052	4	354250	806	0.002969654199012	FALSE
201	0.279229944272564	0.980569186472723	0.0810900364617628	1.32211132084524	0.775825626220795	321	1	372302	850	0.000862203265091243	FALSE
348.4	1.63946705999253	0.805549212039805	4.14210626294834	5.15242284812491	0.0418290920312935	219	2	357585	808	0.000612441797055246	TRUE
636.2	-0.357689388971171	0.979716967275363	0.133294077898126	0.699290248540081	0.715040780493261	651	1	196783	449	0.00330821259966562	FALSE
359.2	0.10056819868396	0.97649921402373	0.0106066331109127	1.10579905317272	0.917972090464655	386	1	375448	863	0.00102810509045194	FALSE
204	0.333589018181973	0.336420851547728	0.983235790359323	1.39596930766055	0.321401245211197	2741	9	372302	850	0.007362302646776	FALSE
520	0.489057584436961	0.356539909634698	1.88149772160969	1.63077862438669	0.170164019516208	2172	8	366238	831	0.00593056973880373	FALSE
681.3	-0.0219696319323185	0.232831417265904	0.00890353353028877	0.978269942767958	0.924824351373215	8354	19	363190	830	0.0230017346292574	FALSE
454.11	0.0365890880995777	0.57879791751769	0.00399621873805107	1.03726670802141	0.949594780708866	1268	3	337204	759	0.00376033499009502	FALSE
724	0.0546505677682874	0.706828844428155	0.00597806769288308	1.05617148982643	0.93837059978056	818	2	365367	833	0.00223884477799035	FALSE
375.2	-0.304551546273643	0.706129951596579	0.186016878097929	0.737454014248455	0.666252620307075	1210	2	365185	840	0.00331338910415269	FALSE
411.3	0.0957924330702618	0.148039277730526	0.418705333827913	1.10053060652561	0.517583765408803	20895	51	336002	759	0.0621871298385129	FALSE
289	0.907771418347939	0.396716068863185	5.23592510418893	2.4787921824773	0.0221250389900116	1538	8	366991	837	0.00419083846742836	TRUE
628	0.327218237674381	0.264690225611326	1.52826685535532	1.38710416253698	0.216372745316081	5085	15	174909	374	0.0290722604325678	FALSE
